time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447000000	18.9149	7.38492	5.06438	1.02023	0.391728	lidar	5.69629	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9912	7.61906	5.05281	1.07977	0.467312	radar	4.90258	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0874	7.85548	5.05374	1.11352	0.479901	lidar	0.322348	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2022	8.07589	5.05115	1.13172	0.470066	radar	0.501932	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2865	8.28683	5.03164	1.15951	0.477892	lidar	2.44514	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3799	8.51117	5.02592	1.17724	0.460632	radar	2.7529	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.481	8.67702	4.9818	1.18579	0.449317	lidar	7.92598	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5611	8.90642	4.97656	1.21753	0.469991	radar	1.06424	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7331	9.07301	4.95425	1.19535	0.418448	lidar	6.35425	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7931	9.31372	4.95213	1.23966	0.464084	radar	1.01354	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.934	9.5144	4.94433	1.2326	0.428879	lidar	3.0629	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9643	9.75945	4.93838	1.29211	0.502342	radar	3.02541	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0607	9.97491	4.92955	1.30153	0.484702	lidar	0.811338	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1147	10.2245	4.93644	1.32453	0.472317	radar	6.25478	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1705	10.4654	4.9369	1.34886	0.473096	lidar	0.00181848	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1769	10.7134	4.93251	1.40389	0.530951	radar	3.00687	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2432	10.9561	4.93711	1.4187	0.516591	lidar	1.02027	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2696	11.2093	4.94262	1.44367	0.506861	radar	4.46561	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.307	11.4382	4.93172	1.46417	0.502808	lidar	0.432174	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2444	11.6934	4.92823	1.55074	0.618134	radar	10.3578	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3199	11.9231	4.9238	1.55079	0.583392	lidar	4.8207	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3442	12.1631	4.92013	1.54935	0.512598	radar	4.22168	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3388	12.4216	4.92925	1.57823	0.514857	lidar	0.303787	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2838	12.6647	4.92527	1.64278	0.592231	radar	3.16201	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3101	12.8993	4.91884	1.65351	0.571954	lidar	1.97316	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2932	13.138	4.91462	1.6811	0.574383	radar	2.28426	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2555	13.3558	4.89514	1.71332	0.581394	lidar	1.95443	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2136	13.595	4.89278	1.73771	0.565445	radar	1.49164	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.1985	13.8386	4.8939	1.75465	0.552665	lidar	0.991099	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.138	14.0716	4.8903	1.79311	0.5754	radar	0.974612	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.088	14.3118	4.89176	1.8189	0.571861	lidar	0.0922489	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0137	14.5435	4.88927	1.84944	0.569815	radar	1.52046	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9123	14.7794	4.89447	1.88931	0.581602	lidar	0.947542	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8422	15.0047	4.88707	1.90416	0.546765	radar	3.72593	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8087	15.2276	4.87427	1.91413	0.529627	lidar	2.49585	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
