time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010483349642	90.5313	21.6384	1.3881	-0.706547	-0.126635	lidar	0.51873	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.6148	21.6652	1.42472	-0.524175	0.107305	radar	1.63121	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7156	21.1131	1.41944	-0.356175	0.146025	lidar	0.00744449	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7713	21.1249	1.39846	-0.445375	-0.0642986	radar	1.89711	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8546	20.941	1.34741	-0.065642	0.214829	lidar	0.245784	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9235	20.9603	1.267	-0.102067	0.0793707	radar	2.60447	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.5008	20.2384	1.22337	-0.942771	-0.482505	lidar	1.17495	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5584	20.2776	1.27812	-0.652576	-0.121204	radar	1.09118	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2091	19.6812	1.66559	0.111852	0.475998	lidar	4.68671	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0504	19.6813	1.37552	-0.093723	0.240557	radar	6.74835	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5348	19.6991	1.26559	0.183202	0.268452	lidar	0.66591	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5383	19.7015	1.14787	0.143767	0.233096	radar	0.44843	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2652	19.1859	1.10574	-0.71906	-0.401839	lidar	0.844767	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3045	19.2077	1.14798	-0.575403	-0.23709	radar	0.571084	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4616	18.7397	1.33416	-0.127595	0.211187	lidar	1.64278	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4368	18.7379	1.25074	-0.237168	0.0436461	radar	0.381996	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.215	18.3771	1.25341	-0.358592	-0.0562884	lidar	0.0261036	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2368	18.3724	1.21	-0.463809	-0.21	radar	0.369494	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0148	17.381	1.36801	-1.10356	-0.460308	lidar	0.607213	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.034	17.4128	1.3819	-0.71158	0.104118	radar	0.797428	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	100.006	16.9618	1.22859	-0.321608	0.285138	lidar	0.417829	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
